ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,5,0.5384,0.4976,131521,77.625,11.178,1
1,1,1,0.5376,0.4982,131519,21.272,10.554,1
2,0,6,0.5371,0.4976,131519,89.953,10.292,1
3,1,8,0.5355,0.5027,131561,116.706,10.313,1
4,0,1,0.5335,0.5003,131535,30.305,9.989,1
5,1,1,0.5379,0.5001,131528,21.208,10.051,1
6,0,3,0.5324,0.5019,131551,48.075,10.753,1
7,1,2,0.5344,0.5015,131544,35.048,9.476,1
8,0,4,0.5343,0.5003,131538,61.466,10.407,1
9,1,1,0.5340,0.5002,131533,21.150,9.601,1
10,0,8,0.5382,0.5047,131565,114.899,9.911,1
11,1,2,0.5347,0.4970,131518,34.732,10.139,1
12,0,3,0.5374,0.4965,131507,48.416,10.411,1
13,1,2,0.5378,0.4975,131525,34.603,9.834,1
14,0,1,0.5348,0.5019,131567,22.275,10.394,1
15,1,2,0.5335,0.4978,131514,34.776,10.141,1
16,0,6,0.5365,0.5001,131541,90.643,9.934,1
17,1,1,0.5371,0.5008,131526,20.771,9.701,1
18,0,2,0.5357,0.4993,131527,35.257,9.805,1
19,1,5,0.5350,0.5004,131537,74.994,9.995,1
20,0,8,0.5394,0.4993,131528,114.358,10.125,1
21,1,3,0.5394,0.5010,131542,53.661,10.220,1
22,0,1,0.5385,0.4989,131533,20.958,9.566,1
23,1,3,0.5352,0.5040,131555,47.484,9.826,1
24,0,1,0.5387,0.5013,131546,21.198,9.794,1
25,1,7,0.5350,0.5018,131552,102.360,10.286,1
26,0,1,0.5332,0.5022,131544,21.127,10.295,1
27,1,2,0.5321,0.5009,131527,34.776,9.885,1
28,0,1,0.5439,0.4989,131527,20.638,10.186,1
29,1,1,0.5310,0.4991,131524,20.574,9.766,1
30,0,3,0.5346,0.4975,131512,47.758,10.003,1
31,1,4,0.5383,0.5025,131544,61.562,9.774,1
32,0,2,0.5330,0.4958,131507,35.354,9.986,1
33,1,2,0.5364,0.4953,131503,34.994,9.836,1
34,0,1,0.5312,0.4989,131521,22.161,10.714,1
35,1,7,0.5324,0.5001,131529,101.691,9.851,1
36,0,6,0.5430,0.5002,131524,88.731,10.016,1
37,1,1,0.5342,0.4983,131528,20.903,10.585,1
38,0,2,0.5334,0.5020,131546,34.619,9.719,1
39,1,5,0.5376,0.5061,131568,74.915,10.375,1
40,0,1,0.5303,0.5011,131545,21.176,10.306,1
41,1,1,0.5317,0.4995,131534,20.976,9.750,1
42,0,3,0.5316,0.4996,131533,48.277,10.557,1
43,1,1,0.5291,0.5012,131545,20.888,10.621,1
44,0,1,0.5403,0.4983,131524,20.950,10.376,1
45,1,1,0.5345,0.4994,131529,20.622,10.208,1
46,0,5,0.5362,0.4982,131519,73.844,10.261,1
47,1,1,0.5297,0.4993,131532,20.206,10.244,1
48,0,5,0.5368,0.5027,131541,73.229,10.076,1
49,1,3,0.5340,0.5025,131550,47.819,10.215,1
50,0,1,0.5286,0.4979,131523,21.388,18.767,1
51,1,3,0.5391,0.4973,131516,47.999,10.358,1
52,0,8,0.5375,0.5002,131530,115.209,10.011,1
53,1,6,0.5349,0.5005,131542,88.526,10.198,1
54,0,1,0.5361,0.4960,131501,20.241,9.621,1
55,1,2,0.5351,0.5013,131540,33.762,10.391,1
56,0,1,0.5358,0.4973,131514,20.765,9.808,1
57,1,1,0.5385,0.5023,131545,20.253,10.479,1
58,0,4,0.5353,0.5036,131554,60.835,9.778,1
59,1,1,0.5297,0.4990,131523,20.413,10.260,1
60,0,4,0.5379,0.4998,131520,60.344,9.909,1
61,1,1,0.5324,0.5018,131553,20.477,9.518,1
62,0,3,0.5307,0.5001,131528,47.320,9.872,1
63,1,1,0.5341,0.5020,131542,20.493,9.834,1
64,0,5,0.5356,0.4985,131520,73.680,9.523,1
65,1,2,0.5350,0.4997,131527,34.053,10.167,1
66,0,3,0.5365,0.5019,131537,47.388,9.870,1
67,1,3,0.5407,0.5030,131556,47.227,9.710,1
68,0,8,0.5316,0.5022,131555,117.682,10.522,1
69,1,1,0.5251,0.4978,131519,20.548,10.296,1
70,0,1,0.5299,0.4997,131536,20.754,10.186,1
71,1,8,0.5413,0.4987,131527,115.358,9.619,1
72,0,3,0.5332,0.5001,131532,48.159,9.818,1
73,1,3,0.5354,0.4976,131520,47.852,9.788,1
74,0,1,0.5335,0.5003,131531,20.510,10.148,1
75,1,2,0.5377,0.4986,131531,34.358,10.278,1
76,0,1,0.5386,0.4984,131517,20.833,10.469,1
77,1,1,0.5337,0.5023,131544,20.301,10.316,1
78,0,7,0.5383,0.5052,131555,123.779,10.638,1
79,1,5,0.5353,0.4967,131528,76.666,10.079,1
80,0,4,0.5325,0.5013,131544,63.439,10.053,1
81,1,6,0.5437,0.5033,131545,103.358,10.482,1
