ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,1,0.5154,0.4997,110323,25.211,9.792,1
1,1,2,0.5199,0.5032,110349,34.846,8.504,1
2,0,10,0.5140,0.5033,110357,144.615,9.184,1
3,1,5,0.5173,0.5021,110359,74.885,8.830,1
4,0,3,0.5155,0.5007,110326,47.904,8.660,1
5,1,4,0.5217,0.4988,110318,62.226,8.962,1
6,0,4,0.5168,0.5017,110346,66.602,8.920,1
7,1,4,0.5190,0.5017,110343,60.888,9.328,1
8,0,1,0.5126,0.5021,110364,20.060,9.460,1
9,1,1,0.5158,0.4959,110286,21.135,9.103,1
10,0,1,0.5176,0.4998,110336,20.082,8.865,1
11,1,3,0.5178,0.4993,110333,48.520,10.418,1
12,0,2,0.5112,0.4995,110325,33.431,8.593,1
13,1,1,0.5178,0.4976,110315,19.855,8.625,1
14,0,5,0.5193,0.4995,110334,73.067,9.277,1
15,1,1,0.5131,0.5013,110332,20.007,8.471,1
16,0,9,0.5146,0.4980,110306,130.648,8.337,1
17,1,1,0.5125,0.5019,110360,20.200,9.115,1
18,0,2,0.5146,0.5009,110337,32.884,8.691,1
19,1,3,0.5129,0.5002,110327,48.215,8.836,1
20,0,2,0.5173,0.5028,110347,33.789,8.712,1
21,1,8,0.5192,0.4995,110337,113.692,9.015,1
22,0,12,0.5213,0.5002,110334,172.230,8.519,1
23,1,3,0.5147,0.5031,110338,46.368,9.131,1
24,0,2,0.5119,0.4934,110270,33.935,8.618,1
25,1,1,0.5159,0.5004,110344,19.864,8.621,1
26,0,2,0.5167,0.4995,110332,33.861,9.657,1
27,1,2,0.5219,0.5008,110341,33.584,8.752,1
28,0,3,0.5182,0.4979,110326,47.214,8.546,1
29,1,4,0.5074,0.5013,110346,58.882,8.912,1
30,0,3,0.5210,0.4964,110300,47.723,8.973,1
31,1,1,0.5160,0.5010,110338,19.616,8.920,1
32,0,1,0.5191,0.4957,110300,20.623,8.660,1
33,1,2,0.5153,0.4993,110324,33.736,8.944,1
34,0,3,0.5146,0.5007,110343,45.945,8.547,1
35,1,2,0.5237,0.4975,110317,34.326,8.947,1
36,0,1,0.5189,0.5001,110320,19.839,8.448,1
37,1,3,0.5175,0.5011,110339,46.658,8.868,1
38,0,3,0.5217,0.4976,110328,46.193,8.775,1
39,1,1,0.5204,0.5004,110328,19.452,8.845,1
40,0,11,0.5153,0.5017,110340,155.949,8.843,1
41,1,4,0.5181,0.5006,110334,59.680,8.528,1
42,0,3,0.5183,0.4983,110321,46.641,8.944,1
43,1,1,0.5138,0.5010,110331,20.094,8.652,1
44,0,1,0.5176,0.5012,110353,19.602,8.793,1
45,1,2,0.5101,0.5000,110335,33.760,8.822,1
46,0,4,0.5152,0.4981,110323,61.230,8.742,1
47,1,3,0.5177,0.4982,110324,46.076,9.015,1
48,0,2,0.5109,0.4968,110313,33.862,8.941,1
49,1,2,0.5151,0.5016,110346,33.042,9.049,1
50,0,1,0.5160,0.4995,110329,20.720,8.504,1
51,1,1,0.5143,0.4988,110323,19.295,8.747,1
52,0,4,0.5172,0.5024,110346,60.680,8.530,1
53,1,2,0.5184,0.5018,110345,35.037,8.858,1
54,0,1,0.5193,0.5032,110368,19.147,8.948,1
55,1,8,0.5183,0.5045,110368,116.406,8.973,1
56,0,3,0.5209,0.5019,110324,46.740,8.593,1
57,1,1,0.5160,0.4982,110327,20.456,9.266,1
58,0,3,0.5212,0.4992,110330,46.215,11.790,1
59,1,1,0.5231,0.4929,110283,23.786,12.554,1
60,0,5,0.5199,0.4983,110330,89.685,9.008,1
61,1,2,0.5257,0.5010,110335,33.756,8.817,1
62,0,1,0.5157,0.4969,110312,20.371,8.855,1
63,1,14,0.5237,0.4985,110332,205.867,9.337,1
64,0,13,0.5183,0.5037,110371,181.571,9.219,1
65,1,4,0.5189,0.5055,110377,76.813,15.560,1
66,0,1,0.5142,0.5009,110340,32.679,15.459,1
67,1,6,0.5216,0.4962,110305,108.047,8.666,1
68,0,6,0.5207,0.5034,110363,87.731,9.319,1
69,1,2,0.5161,0.5031,110360,34.777,8.914,1
70,0,4,0.5163,0.4998,110336,59.977,9.084,1
71,1,1,0.5198,0.5028,110355,21.191,8.423,1
72,0,12,0.5162,0.4935,110291,169.884,10.530,1
73,1,4,0.5184,0.5012,110341,63.350,9.673,1
74,0,2,0.5100,0.5027,110359,35.927,12.313,1
75,1,4,0.5126,0.5033,110358,63.920,9.277,1
76,0,1,0.5149,0.4986,110325,21.423,9.420,1
77,1,1,0.5160,0.5023,110340,21.395,13.218,1
78,0,1,0.5129,0.4980,110309,26.763,11.201,1
79,1,4,0.5129,0.4996,110330,60.562,11.563,1
80,0,1,0.5110,0.5007,110335,25.981,8.672,1
81,1,2,0.5196,0.4984,110308,33.892,8.503,1
82,0,5,0.5141,0.5029,110355,74.517,8.889,1
83,1,1,0.5177,0.5027,110348,25.661,12.067,1
84,0,3,0.5161,0.5037,110369,56.608,8.892,1
85,1,5,0.5150,0.5000,110336,75.887,8.854,1
86,0,7,0.5179,0.5013,110334,101.892,9.038,1
87,1,1,0.5165,0.5018,110351,20.688,8.961,1
88,0,1,0.5138,0.5003,110343,21.028,8.585,1
89,1,3,0.5175,0.5023,110355,47.411,9.216,1
90,0,3,0.5214,0.5012,110345,47.617,8.704,1
91,1,1,0.5135,0.5039,110355,19.487,8.757,1
92,0,4,0.5157,0.5029,110356,59.366,8.991,1
93,1,1,0.5110,0.4985,110323,19.524,9.026,1
94,0,6,0.5223,0.4957,110299,87.160,8.911,1
95,1,1,0.5123,0.4988,110337,19.553,9.007,1
96,0,5,0.5223,0.5009,110344,74.812,8.666,1
97,1,1,0.5097,0.5007,110347,19.321,8.589,1
98,0,2,0.5153,0.4983,110302,32.733,8.665,1
99,1,2,0.5165,0.5030,110366,33.160,8.646,1
100,0,7,0.5175,0.5011,110342,100.901,9.023,1
101,1,4,0.5206,0.5022,110358,60.226,8.604,1
102,0,1,0.5140,0.4993,110325,20.002,8.768,1
103,1,4,0.5169,0.5004,110345,61.757,8.604,1
104,0,6,0.5255,0.4946,110286,88.712,9.061,1
105,1,1,0.5128,0.5007,110335,20.932,8.829,1
106,0,2,0.5213,0.5009,110336,34.256,9.672,1
107,1,4,0.5173,0.5017,110342,73.559,13.996,1
108,0,1,0.5134,0.4978,110307,29.738,13.696,1
109,1,8,0.5225,0.5028,110358,132.377,8.845,1
110,0,1,0.5133,0.4984,110319,20.206,8.087,1
111,1,2,0.5140,0.4989,110329,38.973,14.299,1
112,0,1,0.5160,0.5012,110344,28.226,9.743,1
113,1,1,0.5161,0.4982,110319,21.670,10.649,1
114,0,2,0.5128,0.5023,110356,50.929,14.778,1
115,1,2,0.5208,0.5049,110358,50.113,13.536,1
116,0,7,0.5194,0.4994,110325,118.275,9.030,1
117,1,1,0.5104,0.5011,110338,20.264,8.436,1
118,0,2,0.5177,0.4989,110325,33.062,8.963,1
119,1,5,0.5170,0.4995,110322,75.232,8.620,1
120,0,1,0.5152,0.5058,110375,20.566,8.451,1
121,1,8,0.5178,0.4983,110314,117.104,9.776,1
122,0,1,0.5134,0.4989,110322,20.876,8.942,1
123,1,2,0.5183,0.4955,110298,50.878,15.158,1
124,0,3,0.5168,0.5004,110338,67.198,8.945,1
125,1,3,0.5176,0.5016,110344,48.893,8.750,1
126,0,2,0.5192,0.5022,110345,33.473,8.741,1
127,1,3,0.5119,0.5038,110365,47.440,8.658,1
128,0,4,0.5220,0.4976,110313,60.589,8.898,1
129,1,1,0.5252,0.4989,110325,20.193,8.776,1
130,0,2,0.5139,0.5029,110359,33.477,8.869,1
131,1,2,0.5219,0.4998,110331,33.551,8.732,1
132,0,11,0.5227,0.5010,110342,157.653,9.305,1
133,1,1,0.5151,0.4982,110327,20.811,8.857,1
134,0,2,0.5118,0.5022,110351,33.295,8.850,1
135,1,6,0.5183,0.4980,110321,88.196,8.828,1
136,0,3,0.5174,0.4955,110307,47.721,8.716,1
137,1,3,0.5154,0.4996,110336,48.973,9.943,1
138,0,10,0.5207,0.5033,110352,144.088,8.933,1
139,1,1,0.5142,0.4998,110327,19.727,8.605,1
140,0,2,0.5215,0.5002,110333,33.454,8.949,1
141,1,1,0.5054,0.5002,110320,20.334,8.678,1
142,0,1,0.5089,0.4973,110313,20.005,8.157,1
143,1,2,0.5128,0.4998,110328,33.648,8.828,1
144,0,1,0.5172,0.4986,110336,19.985,9.007,1
145,1,1,0.5156,0.5011,110338,19.938,8.620,1
146,0,2,0.5169,0.4960,110295,39.100,13.670,1
147,1,1,0.5098,0.4994,110314,30.329,13.448,1
148,0,2,0.5175,0.5001,110340,49.184,13.541,1
149,1,1,0.5226,0.5023,110344,26.092,9.356,1
150,0,2,0.5189,0.5012,110337,33.859,8.456,1
151,1,1,0.5127,0.5002,110339,19.754,8.544,1
152,0,1,0.5207,0.4982,110310,19.368,8.802,1
153,1,2,0.5220,0.4999,110334,33.717,8.752,1
154,0,1,0.5165,0.4994,110341,20.485,8.665,1
155,1,4,0.5164,0.4994,110325,60.293,10.527,1
156,0,5,0.5196,0.4982,110318,78.916,14.344,1
157,1,1,0.5185,0.5017,110349,28.815,10.566,1
158,0,2,0.5240,0.5008,110329,39.759,8.763,1
159,1,1,0.5219,0.5026,110345,20.242,8.834,1
160,0,1,0.5047,0.4997,110333,20.295,8.720,1
161,1,4,0.5211,0.5001,110331,61.689,8.819,1
162,0,2,0.5137,0.4998,110340,33.406,8.557,1
163,1,3,0.5175,0.4996,110324,47.254,8.325,1
164,0,1,0.5138,0.4984,110315,19.430,8.880,1
165,1,1,0.5193,0.4986,110335,18.983,8.477,1
166,0,3,0.5226,0.5001,110340,50.350,9.087,1
167,1,3,0.5137,0.5023,110358,52.774,8.490,1
168,0,1,0.5096,0.4993,110339,19.924,9.118,1
169,1,1,0.5119,0.4973,110313,22.160,8.534,1
170,0,2,0.5196,0.5022,110357,35.008,9.520,1
171,1,4,0.5155,0.4998,110338,61.521,8.602,1
172,0,1,0.5184,0.5014,110343,20.921,8.969,1
173,1,5,0.5197,0.5016,110341,76.327,9.254,1
174,0,3,0.5199,0.4973,110318,46.588,8.424,1
175,1,4,0.5156,0.5010,110350,60.122,8.590,1
176,0,1,0.5162,0.4986,110337,20.400,8.616,1
177,1,1,0.5143,0.4959,110298,19.593,8.466,1
178,0,2,0.5204,0.5009,110338,32.713,8.391,1
179,1,6,0.5166,0.4988,110318,88.291,11.702,1
180,0,4,0.5159,0.5006,110335,70.440,9.566,1
181,1,6,0.5207,0.4970,110308,91.573,14.715,1
182,0,4,0.5154,0.4977,110324,84.399,8.924,1
183,1,4,0.5139,0.4978,110318,67.377,8.737,1
184,0,1,0.5156,0.4977,110299,19.922,8.481,1
185,1,6,0.5136,0.4974,110321,89.351,8.738,1
186,0,2,0.5153,0.5002,110332,33.133,9.057,1
187,1,2,0.5182,0.4991,110323,34.249,8.604,1
188,0,2,0.5166,0.5002,110344,33.005,8.938,1
189,1,3,0.5173,0.4982,110301,45.874,8.585,1
190,0,6,0.5169,0.5006,110343,87.541,8.826,1
191,1,3,0.5163,0.5016,110346,46.822,9.485,1
192,0,2,0.5160,0.4994,110338,34.454,8.866,1
193,1,1,0.5084,0.4996,110329,20.442,8.476,1
194,0,1,0.5228,0.5021,110332,19.464,8.823,1
195,1,7,0.5188,0.4979,110320,103.139,8.598,1
196,0,3,0.5139,0.5001,110345,48.066,8.711,1
197,1,2,0.5182,0.5016,110352,35.453,8.940,1
198,0,3,0.5173,0.5008,110346,47.663,8.887,1
199,1,1,0.5162,0.5004,110342,19.514,8.597,1
200,0,2,0.5194,0.4985,110312,32.589,8.806,1
201,1,2,0.5132,0.4985,110313,33.923,9.236,1
202,0,1,0.5098,0.5012,110342,21.762,8.735,1
203,1,2,0.5163,0.5052,110386,34.446,8.816,1
204,0,3,0.5157,0.5033,110373,46.006,8.764,1
205,1,3,0.5177,0.4979,110306,46.983,8.726,1
206,0,2,0.5131,0.4996,110323,33.384,8.771,1
207,1,3,0.5162,0.4975,110312,47.138,8.612,1
