ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,5,0.4887,0.4986,138969,103.848,13.253,1
1,1,3,0.4913,0.4978,138952,65.572,13.305,1
2,0,4,0.4907,0.5043,139046,84.059,13.038,1
3,1,1,0.4814,0.5044,139051,27.442,13.284,1
4,0,1,0.4891,0.5007,138987,27.524,13.216,1
5,1,1,0.4877,0.5014,139005,27.708,13.182,1
6,0,1,0.4915,0.5047,139034,27.608,13.356,1
7,1,4,0.4876,0.5011,139011,84.896,13.300,1
8,0,4,0.4903,0.5000,138989,86.807,13.411,1
9,1,2,0.4890,0.4979,138965,46.628,13.322,1
10,0,3,0.4933,0.5005,138984,65.918,16.841,1
11,1,1,0.4939,0.4996,138983,45.663,13.693,1
12,0,5,0.4924,0.5033,139036,110.654,13.521,1
13,1,2,0.4870,0.4990,138959,47.919,13.323,1
14,0,6,0.4873,0.4954,138939,136.274,13.984,1
15,1,1,0.4947,0.4988,138994,28.724,13.424,1
16,0,6,0.4952,0.5007,139002,126.070,14.059,1
17,1,2,0.4902,0.4987,138963,49.125,13.580,1
18,0,5,0.4924,0.5004,138991,105.736,13.434,1
19,1,3,0.4884,0.5004,139003,66.252,13.386,1
20,0,1,0.4855,0.4998,138985,30.890,13.847,1
21,1,2,0.4958,0.4993,138973,48.350,14.124,1
22,0,1,0.4912,0.4982,138967,30.216,13.617,1
23,1,2,0.4917,0.5015,139005,47.984,14.384,1
24,0,1,0.4887,0.5007,139004,28.479,13.111,1
25,1,1,0.4908,0.5009,139005,27.543,16.251,1
26,0,2,0.4866,0.5020,139031,50.829,17.119,1
27,1,1,0.4866,0.5005,138992,28.106,13.340,1
28,0,3,0.4921,0.5020,139024,74.144,13.683,1
29,1,1,0.4936,0.5006,139010,28.503,13.620,1
30,0,2,0.4908,0.4996,138987,50.370,16.891,1
31,1,7,0.4903,0.5010,139008,145.209,13.708,1
32,0,1,0.4937,0.4999,138992,28.028,13.225,1
33,1,1,0.4856,0.5001,138995,27.649,13.481,1
34,0,1,0.4892,0.5011,138983,55.500,13.410,1
35,1,7,0.4891,0.5025,139022,143.860,13.156,1
36,0,2,0.4944,0.5019,139013,47.022,13.165,1
37,1,2,0.4888,0.4994,138972,46.707,13.237,1
38,0,1,0.4938,0.4986,138968,27.834,13.576,1
39,1,3,0.4864,0.4994,138982,77.359,32.296,1
40,0,1,0.4825,0.4993,138971,42.890,13.276,1
41,1,1,0.4981,0.4978,138971,31.782,13.724,1
42,0,4,0.4919,0.5006,139013,85.097,13.615,1
43,1,2,0.4895,0.4993,138975,47.031,26.438,1
44,0,1,0.4875,0.4992,139004,32.058,13.578,1
45,1,3,0.4929,0.5021,139014,93.116,19.370,1
46,0,10,0.4927,0.4988,138980,217.022,13.192,1
47,1,1,0.4969,0.5021,139017,28.200,14.197,1
48,0,1,0.4888,0.4982,138957,27.529,13.425,1
49,1,5,0.4935,0.5032,139024,102.874,13.250,1
50,0,1,0.4829,0.5000,139002,27.738,13.906,1
51,1,1,0.4857,0.4983,138966,27.756,13.387,1
52,0,5,0.4920,0.4968,138948,103.532,13.480,1
53,1,3,0.4945,0.5005,138976,66.215,13.556,1
54,0,4,0.5005,0.4995,138983,84.707,13.304,1
55,1,5,0.4961,0.5035,139040,103.381,13.338,1
56,0,2,0.4983,0.4998,138994,48.460,13.198,1
57,1,6,0.4933,0.5016,139006,124.273,15.971,1
58,0,2,0.4905,0.4998,138994,46.493,13.542,1
59,1,2,0.4896,0.5004,138994,47.105,13.645,1
60,0,1,0.4915,0.5016,139010,27.666,13.400,1
61,1,3,0.4929,0.5000,138981,66.236,13.484,1
62,0,1,0.4869,0.4977,138963,28.033,13.308,1
63,1,10,0.4889,0.4994,138980,198.140,13.414,1
64,0,3,0.4867,0.4999,138981,65.940,13.287,1
65,1,4,0.4972,0.5020,139012,85.309,13.253,1
66,0,1,0.4885,0.4999,138995,28.150,13.234,1
67,1,2,0.4948,0.5010,139017,46.741,13.230,1
68,0,4,0.4880,0.5025,139033,84.647,13.342,1
69,1,3,0.4902,0.5037,139047,65.682,14.979,1
70,0,5,0.4943,0.4974,138949,105.583,13.493,1
71,1,1,0.4896,0.5015,138999,28.210,13.156,1
72,0,5,0.4978,0.5023,139037,104.131,13.643,1
73,1,5,0.4922,0.4973,138944,104.761,13.279,1
74,0,2,0.4934,0.5006,139006,46.679,13.228,1
75,1,2,0.4936,0.4987,138996,46.343,13.850,1
76,0,5,0.4930,0.5021,139020,103.590,13.207,1
77,1,3,0.4908,0.4991,138977,66.064,13.426,1
78,0,1,0.4850,0.5016,139011,27.723,13.285,1
79,1,5,0.4893,0.4992,138980,103.305,13.626,1
80,0,5,0.4952,0.4986,138991,105.253,13.596,1
81,1,1,0.4890,0.4997,138995,28.326,13.547,1
82,0,2,0.4939,0.4978,138959,47.825,13.214,1
83,1,1,0.4953,0.4988,138980,27.359,13.913,1
84,0,4,0.4938,0.5003,139003,84.848,13.347,1
85,1,5,0.4909,0.4962,138930,103.106,13.446,1
86,0,11,0.4884,0.4987,138979,220.282,13.208,1
87,1,1,0.4915,0.4991,138976,27.864,13.760,1
88,0,6,0.4935,0.4971,138948,122.582,13.572,1
89,1,1,0.4910,0.4987,138983,27.963,13.699,1
90,0,2,0.4954,0.5000,138981,47.135,13.638,1
91,1,2,0.4871,0.4996,138994,47.406,13.637,1
92,0,4,0.4830,0.4995,138981,85.326,14.325,1
93,1,2,0.4889,0.4976,138959,53.477,13.415,1
94,0,1,0.4918,0.4996,138979,28.225,13.101,1
95,1,1,0.4907,0.5028,139041,27.528,13.211,1
96,0,1,0.4886,0.4969,138961,27.740,12.954,1
97,1,5,0.4923,0.4980,138962,102.692,13.410,1
98,0,4,0.4859,0.4990,138975,84.762,13.361,1
99,1,1,0.4879,0.5001,139015,27.447,13.218,1
100,0,3,0.4903,0.5019,139026,65.401,13.453,1
101,1,1,0.4912,0.5045,139051,27.240,13.319,1
102,0,2,0.4897,0.5001,138982,46.326,13.460,1
103,1,2,0.4926,0.4993,138988,46.682,13.145,1
104,0,1,0.4906,0.5004,139005,27.754,13.166,1
105,1,6,0.4933,0.4990,138975,121.653,12.959,1
106,0,1,0.4871,0.5022,139022,27.321,14.049,1
107,1,1,0.4924,0.4968,138945,27.986,13.265,1
108,0,1,0.4935,0.5008,139010,27.998,13.627,1
109,1,2,0.4917,0.5007,138983,47.069,13.113,1
110,0,2,0.4873,0.5001,139006,47.067,13.372,1
111,1,9,0.4910,0.5014,139021,178.959,13.057,1
112,0,3,0.4868,0.4996,138976,66.133,13.525,1
113,1,2,0.4916,0.4979,138947,48.152,13.579,1
114,0,3,0.4923,0.5018,139027,66.570,13.617,1
115,1,5,0.4893,0.5011,138995,105.924,13.553,1
116,0,1,0.4875,0.5018,139025,27.618,13.336,1
117,1,3,0.4904,0.5023,139021,66.899,18.654,1
118,0,3,0.4898,0.5018,139016,66.642,14.188,1
119,1,2,0.4921,0.5001,138989,47.887,13.214,1
120,0,7,0.4976,0.4987,138971,145.805,13.961,1
121,1,1,0.4937,0.5003,138993,27.716,13.696,1
122,0,4,0.4901,0.5007,139009,85.431,13.999,1
123,1,5,0.4973,0.5031,139026,106.194,13.483,1
124,0,1,0.4918,0.5027,139023,27.712,14.007,1
125,1,1,0.4858,0.5018,139013,35.480,13.548,1
126,0,1,0.4837,0.5026,139008,28.467,13.835,1
127,1,2,0.4996,0.4970,138960,46.772,13.492,1
128,0,5,0.4877,0.4993,138993,104.372,13.872,1
129,1,1,0.4858,0.4985,138954,28.101,13.956,1
130,0,2,0.4852,0.4992,138963,50.238,14.381,1
131,1,1,0.4896,0.4998,138996,28.970,13.666,1
132,0,2,0.4897,0.5007,138996,48.821,13.870,1
133,1,1,0.4937,0.5007,139000,30.450,13.583,1
134,0,1,0.4897,0.5003,139002,27.597,13.718,1
135,1,2,0.4935,0.5008,139015,48.226,13.532,1
136,0,4,0.4962,0.4978,138945,85.274,13.295,1
137,1,1,0.4864,0.4974,138957,27.799,13.654,1
138,0,1,0.4844,0.4985,138961,28.797,13.519,1
139,1,3,0.4927,0.4963,138956,66.520,13.728,1
140,0,6,0.4863,0.4950,138931,126.123,13.408,1
141,1,1,0.4887,0.5005,139001,28.270,13.695,1
142,0,1,0.4913,0.4977,138980,28.100,13.107,1
143,1,4,0.4889,0.5002,138998,85.532,13.163,1
144,0,1,0.4896,0.4974,138948,29.022,13.125,1
145,1,6,0.4878,0.4982,138966,124.804,13.450,1
146,0,3,0.4882,0.4945,138903,65.636,15.531,1
147,1,1,0.4900,0.4971,138957,32.812,13.519,1
148,0,4,0.4960,0.4979,138972,84.661,13.242,1
149,1,1,0.4956,0.4980,138976,28.625,13.412,1
150,0,7,0.4881,0.5006,138984,140.842,13.375,1
151,1,1,0.4922,0.5021,139014,27.389,13.397,1
152,0,1,0.4931,0.4988,138950,27.538,13.613,1
153,1,1,0.4911,0.4991,138966,27.405,13.037,1
154,0,2,0.4889,0.4972,138959,46.666,13.266,1
155,1,1,0.4889,0.5006,138999,27.644,13.415,1
156,0,4,0.4923,0.5003,139004,84.288,13.687,1
157,1,3,0.4945,0.4977,138947,67.826,13.661,1
158,0,3,0.4924,0.5000,138991,65.533,13.173,1
159,1,1,0.4888,0.5024,139003,28.040,13.331,1
160,0,3,0.4907,0.4997,139001,66.478,13.052,1
161,1,2,0.4956,0.5010,138997,47.900,13.627,1
162,0,2,0.4922,0.4983,138990,46.940,22.504,1
163,1,1,0.5042,0.4997,138982,30.468,13.273,1
164,0,9,0.4960,0.4984,138952,186.273,18.117,1
165,1,7,0.4928,0.5017,139003,161.767,13.560,1
166,0,4,0.4910,0.5048,139079,91.109,13.194,1
167,1,3,0.4863,0.5013,139028,68.001,13.657,1
168,0,2,0.4849,0.4980,138963,47.194,13.611,1
169,1,1,0.4943,0.5015,139008,27.786,13.525,1
170,0,8,0.4917,0.5020,139027,199.953,13.559,1
171,1,2,0.4909,0.5003,138982,48.085,13.572,1
172,0,1,0.4931,0.4965,138940,28.124,13.497,1
173,1,1,0.4945,0.5022,139002,28.528,13.615,1
174,0,3,0.4921,0.4962,138937,71.531,14.053,1
175,1,1,0.4844,0.5024,139024,29.237,14.411,1
176,0,1,0.4925,0.4999,139003,28.838,13.216,1
177,1,3,0.4870,0.4968,138961,66.366,13.102,1
178,0,6,0.4924,0.5007,139011,133.317,18.408,1
179,1,1,0.4933,0.5011,139000,33.595,13.157,1
180,0,1,0.4900,0.4996,138985,28.438,14.187,1
181,1,5,0.4871,0.5010,139010,105.859,13.555,1
182,0,3,0.4905,0.5012,138999,78.016,15.564,1
183,1,2,0.4899,0.4993,138990,63.728,16.959,1
184,0,1,0.4884,0.4995,138986,28.850,13.749,1
185,1,1,0.4892,0.5019,139004,27.789,13.110,1
186,0,2,0.4925,0.4997,138986,46.886,13.588,1
187,1,4,0.4927,0.4981,138968,84.831,13.619,1
188,0,3,0.4927,0.5002,138986,65.563,13.205,1
189,1,2,0.4912,0.5023,139036,46.374,13.700,1
190,0,1,0.4882,0.5025,139018,28.196,13.904,1
191,1,3,0.4841,0.5017,139006,65.691,13.717,1
192,0,2,0.4962,0.5020,139014,47.017,13.569,1
193,1,10,0.4928,0.5003,139001,201.757,13.464,1
194,0,1,0.4890,0.4991,138971,28.455,13.340,1
195,1,1,0.4864,0.5024,139017,28.025,13.570,1
196,0,1,0.4876,0.5001,139015,28.949,13.202,1
197,1,4,0.4936,0.5019,139014,86.381,13.347,1
198,0,13,0.4898,0.4997,138989,256.995,13.305,1
199,1,2,0.4870,0.4994,138981,47.320,13.741,1
200,0,2,0.4908,0.4984,138965,48.675,13.137,1
201,1,1,0.4906,0.4993,138975,28.022,13.462,1
202,0,1,0.4937,0.5005,139006,27.671,13.199,1
203,1,8,0.4943,0.4999,139009,160.667,13.531,1
204,0,1,0.4883,0.5011,138990,27.564,13.276,1
205,1,1,0.4873,0.5000,139008,27.655,13.223,1
206,0,4,0.4897,0.5017,139027,84.137,13.408,1
207,1,8,0.4963,0.4977,138957,164.031,13.492,1
208,0,2,0.4867,0.5012,139007,46.352,13.426,1
209,1,1,0.4881,0.4987,138968,27.779,13.869,1
210,0,9,0.4888,0.5011,139006,180.441,13.426,1
211,1,1,0.4910,0.4981,138988,28.007,13.594,1
212,0,1,0.4902,0.4985,138956,30.501,16.008,1
213,1,1,0.4877,0.4979,138958,27.767,16.782,1
214,0,2,0.4904,0.4989,138980,55.872,22.696,1
215,1,9,0.4905,0.5008,139000,186.667,13.521,1
216,0,3,0.4937,0.5030,139033,66.451,13.365,1
217,1,4,0.4884,0.5021,139007,89.156,13.157,1
218,0,1,0.4859,0.4977,138968,29.017,15.460,1
219,1,2,0.4915,0.5004,139009,48.095,13.624,1
220,0,2,0.4906,0.5005,139010,47.244,13.422,1
221,1,3,0.4895,0.4998,139011,66.099,13.142,1
222,0,1,0.4874,0.5013,139006,27.444,13.826,1
223,1,2,0.4899,0.4999,139002,47.318,13.333,1
