ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,1,0.4742,0.5003,458308,97.732,54.381,1
1,0,1,0.4744,0.4996,458269,88.992,47.375,1
2,0,3,0.4725,0.4999,458271,224.524,45.222,1
3,0,4,0.4735,0.5001,458294,294.715,44.512,1
4,0,1,0.4670,0.4988,458248,82.997,45.016,1
5,0,7,0.4772,0.5004,458332,472.876,45.879,1
6,0,1,0.4768,0.4985,458231,86.440,49.332,1
7,0,2,0.4661,0.4990,458232,151.241,47.912,1
8,0,4,0.4744,0.5000,458274,305.357,47.614,1
9,1,1,0.4755,0.4994,458255,123.579,45.419,1
10,0,4,0.4807,0.5000,458267,276.128,43.546,1
11,0,10,0.4692,0.5013,458375,674.498,44.563,1
12,0,1,0.4720,0.4992,458251,89.304,46.223,1
13,0,6,0.4676,0.5003,458308,406.514,46.041,1
14,0,1,0.4746,0.4997,458282,82.886,44.699,1
15,0,5,0.4750,0.4993,458250,341.454,45.045,1
16,0,4,0.4825,0.5006,458317,280.168,44.802,1
17,0,2,0.4716,0.5010,458296,156.754,45.527,1
18,0,2,0.4673,0.5005,458351,153.897,43.994,1
19,1,3,0.4649,0.4990,458250,231.606,46.291,1
20,0,1,0.4764,0.5007,458348,86.438,46.247,1
21,0,1,0.4682,0.5002,458302,86.518,44.814,1
22,0,5,0.4735,0.4988,458233,396.510,46.586,1
23,0,1,0.4740,0.5017,458370,87.245,45.504,1
24,0,2,0.4716,0.4995,458276,154.741,46.010,1
25,0,1,0.4715,0.4995,458286,88.775,67.596,1
26,0,3,0.4730,0.4990,458252,290.776,46.070,1
27,0,1,0.4707,0.5020,458381,89.918,81.466,1
28,0,3,0.4689,0.5001,458313,216.691,45.633,1
29,1,1,0.4705,0.5002,458289,114.841,78.964,1
30,0,1,0.4762,0.4988,458245,113.412,48.368,1
31,0,1,0.4699,0.4980,458169,96.805,45.279,1
32,0,1,0.4690,0.5013,458338,84.082,45.274,1
33,0,2,0.4664,0.4996,458246,153.458,46.132,1
34,0,2,0.4779,0.5002,458313,150.387,51.710,1
35,0,6,0.4688,0.5002,458290,411.826,45.737,1
36,0,3,0.4736,0.4998,458284,216.891,45.790,1
37,0,2,0.4773,0.5001,458293,147.334,44.188,1
38,0,4,0.4724,0.5002,458312,288.428,49.202,1
39,1,1,0.4712,0.4985,458235,83.176,45.565,1
40,0,6,0.4746,0.4990,458250,431.759,45.944,1
41,0,3,0.4731,0.4998,458310,215.858,45.090,1
42,0,3,0.4754,0.5021,458399,212.243,44.682,1
43,0,3,0.4726,0.4997,458283,212.221,45.240,1
44,0,1,0.4765,0.5003,458296,83.492,44.672,1
45,0,1,0.4682,0.5006,458317,95.396,50.483,1
46,0,4,0.4707,0.4994,458291,301.904,46.318,1
47,0,2,0.4721,0.4997,458251,159.514,48.761,1
48,0,2,0.4720,0.5002,458320,162.915,48.750,1
49,1,1,0.4676,0.4993,458257,97.936,45.969,1
50,0,1,0.4654,0.5009,458328,80.428,43.851,1
51,0,1,0.4743,0.5008,458311,83.576,44.100,1
52,0,3,0.4783,0.5001,458277,212.023,44.635,1
53,0,4,0.4681,0.5017,458341,286.087,45.655,1
54,0,1,0.4711,0.4985,458213,85.467,45.742,1
55,0,2,0.4660,0.5008,458349,157.786,83.548,1
56,0,2,0.4696,0.4986,458244,166.255,46.041,1
57,0,2,0.4714,0.4987,458211,152.710,46.409,1
58,0,2,0.4696,0.4996,458253,155.635,46.435,1
59,1,1,0.4727,0.4996,458262,88.044,46.435,1
60,0,2,0.4723,0.4999,458289,174.140,45.887,1
61,0,6,0.4681,0.5011,458358,415.568,45.267,1
62,0,9,0.4779,0.5004,458290,635.149,58.626,1
63,0,1,0.4695,0.5013,458366,84.395,56.839,1
64,0,4,0.4711,0.4980,458155,273.401,44.313,1
65,0,5,0.4810,0.5002,458259,339.991,44.955,1
66,0,2,0.4680,0.4997,458275,149.054,45.116,1
67,0,1,0.4766,0.5001,458308,81.787,43.839,1
68,0,2,0.4717,0.4996,458259,148.637,46.273,1
69,1,2,0.4686,0.5001,458288,148.325,44.397,1
70,0,4,0.4680,0.5005,458336,272.386,44.810,1
71,0,2,0.4642,0.5001,458264,146.218,43.332,1
72,0,3,0.4807,0.5000,458312,208.832,46.774,1
73,0,6,0.4676,0.5002,458300,420.179,45.649,1
74,0,1,0.4674,0.4999,458311,84.659,48.751,1
75,0,4,0.4710,0.4998,458290,294.577,49.800,1
76,0,7,0.4698,0.4992,458282,505.615,45.887,1
77,0,1,0.4762,0.4996,458269,85.686,45.547,1
78,0,1,0.4736,0.4989,458231,86.246,44.969,1
79,1,2,0.4772,0.5012,458322,152.583,46.100,1
80,0,1,0.4771,0.4997,458257,90.565,50.001,1
81,0,2,0.4745,0.5000,458270,150.763,45.982,1
82,0,4,0.4683,0.5016,458374,329.417,44.549,1
83,0,7,0.4754,0.5002,458302,499.475,52.077,1
84,0,9,0.4763,0.5007,458305,658.064,56.415,1
85,0,3,0.4711,0.5012,458366,225.614,46.761,1
86,0,10,0.4711,0.5006,458339,800.751,50.600,1
87,0,2,0.4731,0.5001,458310,151.637,47.483,1
88,0,3,0.4743,0.4993,458241,215.459,50.622,1
89,1,4,0.4815,0.4988,458216,286.884,45.468,1
90,0,4,0.4682,0.5007,458340,291.456,46.608,1
91,0,2,0.4738,0.5004,458298,148.667,46.497,1
92,0,1,0.4675,0.5007,458306,84.961,44.450,1
93,0,1,0.4737,0.5005,458296,82.485,46.147,1
94,0,2,0.4726,0.4983,458234,146.602,44.242,1
95,0,2,0.4691,0.5003,458279,149.302,45.080,1
96,0,3,0.4755,0.5014,458371,218.028,45.364,1
97,0,1,0.4700,0.4995,458293,81.016,45.568,1
98,0,1,0.4704,0.5006,458319,81.462,44.280,1
99,1,5,0.4737,0.5003,458324,348.651,46.623,1
100,0,7,0.4825,0.5005,458299,471.735,45.308,1
101,0,1,0.4734,0.5006,458295,81.276,44.754,1
102,0,2,0.4731,0.5003,458301,143.399,43.243,1
103,0,2,0.4718,0.5011,458365,143.040,44.036,1
104,0,2,0.4753,0.4994,458255,145.510,42.412,1
105,0,3,0.4751,0.4989,458223,212.542,44.208,1
106,0,4,0.4761,0.5004,458319,278.288,45.688,1
107,0,12,0.4695,0.4997,458261,797.662,44.700,1
108,0,1,0.4662,0.5000,458262,81.830,46.027,1
109,1,3,0.4711,0.4994,458257,215.264,45.661,1
110,0,5,0.4743,0.5005,458277,389.269,45.357,1
111,0,2,0.4704,0.5000,458278,145.920,44.698,1
112,0,2,0.4683,0.5018,458392,147.766,44.046,1
113,0,4,0.4758,0.4998,458260,293.076,48.820,1
114,0,1,0.4658,0.5006,458291,108.788,47.225,1
115,0,1,0.4671,0.4995,458286,88.513,48.356,1
116,0,3,0.4718,0.5003,458290,215.741,44.349,1
117,0,2,0.4718,0.5008,458322,148.949,46.045,1
118,0,2,0.4739,0.4992,458242,148.365,45.267,1
119,1,1,0.4749,0.5007,458321,96.200,47.248,1
120,0,1,0.4724,0.5015,458370,89.372,45.082,1
121,0,1,0.4602,0.5001,458305,82.806,45.474,1
122,0,4,0.4724,0.5005,458295,283.514,45.531,1
123,0,1,0.4727,0.4996,458269,81.629,45.699,1
124,0,1,0.4738,0.4988,458207,83.517,47.062,1
125,0,2,0.4755,0.5010,458346,149.195,44.584,1
126,0,4,0.4778,0.4998,458264,274.365,44.160,1
127,0,4,0.4711,0.5000,458311,273.416,44.903,1
128,0,3,0.4726,0.5007,458335,252.654,45.874,1
129,1,4,0.4727,0.4987,458212,283.483,48.864,1
130,0,1,0.4682,0.4978,458181,91.572,47.143,1
131,0,1,0.4779,0.4994,458255,85.855,49.930,1
132,0,1,0.4745,0.5001,458309,82.605,51.026,1
133,0,3,0.4731,0.5012,458321,231.745,45.669,1
134,0,2,0.4708,0.5004,458332,153.900,45.429,1
135,0,4,0.4722,0.5001,458285,301.178,80.435,1
136,0,7,0.4794,0.5000,458294,495.082,52.748,1
137,0,3,0.4714,0.4998,458289,224.312,46.467,1
138,0,2,0.4612,0.4999,458311,156.780,46.390,1
139,1,1,0.4659,0.5014,458376,96.090,47.305,1
140,0,13,0.4674,0.4995,458265,887.305,47.971,1
141,0,2,0.4711,0.4999,458288,150.067,44.876,1
142,0,1,0.4672,0.4998,458308,86.543,45.782,1
143,0,2,0.4759,0.4996,458240,155.881,47.015,1
144,0,1,0.4744,0.5001,458287,88.446,49.369,1
145,0,1,0.4683,0.5000,458290,87.810,47.412,1
146,0,1,0.4660,0.4993,458223,83.900,45.762,1
147,0,4,0.4736,0.5013,458386,332.906,46.042,1
148,0,2,0.4720,0.5005,458331,150.520,44.889,1
149,1,2,0.4689,0.5002,458293,165.588,47.291,1
150,0,2,0.4710,0.5005,458290,156.845,46.301,1
151,0,3,0.4757,0.4984,458193,249.182,50.988,1
152,0,2,0.4714,0.4992,458271,155.573,47.008,1
153,0,2,0.4684,0.5000,458252,154.408,47.160,1
154,0,5,0.4687,0.5000,458252,366.903,55.877,1
155,0,1,0.4747,0.4983,458202,96.565,64.931,1
156,0,2,0.4736,0.5000,458300,153.340,46.121,1
157,0,3,0.4682,0.5005,458298,228.433,45.928,1
158,0,1,0.4744,0.5006,458314,85.281,45.162,1
159,1,3,0.4635,0.4992,458220,225.390,48.764,1
160,0,5,0.4689,0.4990,458241,359.203,45.027,1
161,0,1,0.4716,0.5012,458348,81.599,45.694,1
162,0,4,0.4763,0.4999,458292,282.374,45.486,1
163,0,2,0.4739,0.5013,458332,152.758,49.217,1
164,0,1,0.4696,0.5015,458372,83.077,45.243,1
165,0,3,0.4772,0.5006,458306,242.404,46.473,1
166,0,3,0.4687,0.4999,458319,218.156,46.558,1
167,0,5,0.4664,0.4997,458262,351.498,44.887,1
168,0,7,0.4760,0.5002,458271,487.799,46.991,1
169,1,1,0.4704,0.4997,458286,84.800,45.629,1
170,0,1,0.4736,0.4995,458258,87.201,44.708,1
171,0,1,0.4680,0.4995,458295,81.279,45.959,1
172,0,1,0.4738,0.4995,458232,82.020,45.768,1
173,0,6,0.4717,0.4977,458171,422.513,45.203,1
174,0,9,0.4732,0.4997,458280,626.878,47.247,1
175,0,1,0.4716,0.4998,458269,83.664,46.915,1
176,0,6,0.4784,0.5002,458301,415.835,45.157,1
177,0,2,0.4690,0.4997,458315,148.336,46.796,1
178,0,1,0.4692,0.4992,458266,82.560,44.658,1
179,1,2,0.4725,0.5016,458413,148.990,45.574,1
180,0,1,0.4763,0.4991,458255,83.448,44.304,1
181,0,1,0.4682,0.5002,458276,81.824,44.310,1
182,0,4,0.4756,0.5001,458294,289.761,47.262,1
183,0,2,0.4718,0.5003,458308,147.690,44.356,1
184,0,2,0.4699,0.4990,458254,147.758,47.819,1
185,0,4,0.4787,0.5001,458315,293.434,46.096,1
186,0,1,0.4699,0.5007,458318,88.033,50.421,1
187,0,3,0.4719,0.5011,458332,216.377,44.444,1
188,0,1,0.4686,0.4993,458283,82.985,44.989,1
189,1,1,0.4686,0.4987,458236,82.202,47.950,1
