n,t,L,w,d,logq,sigma_J,log2_sigma_J,T,B_J,M,ballots,attempts_mean,attempts_sd,attempts_ci95,accept_rate,max_shift_over_T,max_norm_over_BJ,verified,bytes_mean,prove_ms_median,verify_ms_median,gof_chi2,gof_dof,gof_p,indep_chi2,indep_dof,indep_p,seed
4,3,1,-1,7,42,25116.7,14.616,2283.1,8235832.8,2.9893,500,2.8940,2.2774,0.1996,0.3455,0.5274,0.5073,500,110333.0,29.159,8.229,64.2,65,0.5057,80.1,65,0.0976,2
4,3,2,1,7,42,29470.0,14.847,2679.1,11316494.2,2.9893,500,3.1260,2.7133,0.2378,0.3199,0.5015,0.5061,500,138990.6,39.867,11.491,75.7,65,0.1717,58.2,65,0.7109,2
4,3,5,1,7,42,40221.3,15.296,3656.2,21728459.6,2.9893,500,2.9880,2.3134,0.2028,0.3347,0.4812,0.5037,500,241056.3,76.769,22.451,83.1,65,0.0646,62.9,65,0.5517,2
4,3,10,1,7,42,54839.6,15.743,4985.1,42985290.5,2.9893,500,2.8200,2.3477,0.2058,0.3546,0.4825,0.5029,500,458289.2,152.617,45.907,67.9,65,0.3780,70.6,65,0.2947,2
5,3,1,-1,7,42,26069.3,14.670,2369.7,9138395.4,2.9893,500,3.2080,2.7511,0.2411,0.3117,0.5482,0.5072,500,129336.2,30.949,9.466,59.3,65,0.6762,68.8,65,0.3514,2
