n,t,L,w,d,logq,sigma_J,log2_sigma_J,T,B_J,M,ballots,attempts_mean,attempts_sd,attempts_ci95,accept_rate,max_shift_over_T,max_norm_over_BJ,verified,bytes_mean,prove_ms_median,verify_ms_median,gof_chi2,gof_dof,gof_p,indep_chi2,indep_dof,indep_p,seed
4,3,1,-1,7,42,25116.7,14.616,2283.1,8235832.8,2.9893,500,2.9040,2.3972,0.2101,0.3444,0.5273,0.5078,500,110333.1,29.341,8.253,50.9,65,0.9002,64.3,65,0.5018,3
4,3,2,1,7,42,29470.0,14.847,2679.1,11316494.2,2.9893,500,3.1400,2.5259,0.2214,0.3185,0.4992,0.5062,500,138992.5,44.249,11.417,59.1,65,0.6829,62.4,65,0.5678,3
4,3,5,1,7,42,40221.3,15.296,3656.2,21728459.6,2.9893,500,2.8440,2.2978,0.2014,0.3516,0.4768,0.5047,500,241058.2,76.515,22.746,77.5,65,0.1375,48.4,65,0.9390,3
4,3,10,1,7,42,54839.6,15.743,4985.1,42985290.5,2.9893,500,2.8300,2.2665,0.1987,0.3534,0.4833,0.5024,500,458289.6,151.934,45.578,83.5,65,0.0609,49.0,65,0.9304,3
5,3,1,-1,7,42,26069.3,14.670,2369.7,9138395.4,2.9893,500,2.9900,2.4170,0.2119,0.3344,0.5470,0.5064,500,129336.3,28.810,9.151,57.6,65,0.7319,54.5,65,0.8203,3
