ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,1,7,0.5197,0.5010,111503,100.297,12.762,1
1,0,1,0.5094,0.5032,111517,21.028,8.344,1
2,1,2,0.5157,0.4990,111460,29.985,8.943,1
3,0,1,0.5121,0.5028,111509,18.256,8.543,1
4,1,1,0.5199,0.5007,111492,17.755,8.818,1
5,0,2,0.5149,0.5004,111500,29.982,8.640,1
6,1,1,0.5150,0.4974,111450,17.620,10.912,1
7,0,1,0.5113,0.4981,111478,18.417,10.950,1
8,1,19,0.5185,0.4937,111408,237.541,8.822,1
9,0,4,0.5128,0.5011,111508,53.024,8.455,1
10,1,3,0.5108,0.5013,111491,42.018,8.258,1
11,0,2,0.5155,0.4973,111460,29.321,10.210,1
12,1,5,0.5150,0.4970,111442,68.059,8.516,1
13,0,2,0.5077,0.4988,111471,30.292,8.587,1
14,1,5,0.5104,0.5007,111471,64.553,8.668,1
15,0,4,0.5109,0.5012,111487,55.241,8.359,1
16,1,4,0.5136,0.4999,111490,52.843,8.428,1
17,0,1,0.5140,0.5016,111500,17.894,9.184,1
18,1,4,0.5169,0.4997,111478,57.003,8.333,1
19,0,3,0.5123,0.4996,111492,41.659,8.549,1
20,1,2,0.5147,0.4966,111459,30.622,8.322,1
21,0,2,0.5115,0.5005,111503,30.151,8.668,1
22,1,1,0.5105,0.5044,111536,18.177,8.429,1
23,0,1,0.5142,0.5020,111512,18.102,8.489,1
24,1,3,0.5213,0.5039,111531,41.071,8.370,1
25,0,1,0.5080,0.5004,111498,17.680,8.647,1
26,1,5,0.5171,0.5079,111576,64.343,8.760,1
27,0,1,0.5163,0.5002,111499,17.779,8.688,1
28,1,1,0.5115,0.4988,111461,18.204,8.664,1
29,0,1,0.5093,0.4984,111473,22.846,11.144,1
30,1,3,0.5145,0.4989,111474,57.999,9.964,1
31,0,2,0.5082,0.5010,111490,30.775,8.740,1
32,1,1,0.5131,0.5005,111501,18.112,8.406,1
33,0,1,0.5177,0.5003,111498,17.554,8.610,1
34,1,1,0.5097,0.4984,111460,17.782,8.596,1
35,0,9,0.5202,0.5005,111493,111.619,8.594,1
36,1,6,0.5163,0.5007,111490,75.695,8.325,1
37,0,2,0.5184,0.5009,111494,29.331,8.706,1
38,1,2,0.5166,0.4993,111466,29.107,8.283,1
39,0,3,0.5138,0.5020,111506,40.981,8.194,1
40,1,4,0.5129,0.4977,111465,52.356,8.344,1
41,0,4,0.5105,0.5013,111505,54.262,8.514,1
42,1,4,0.5158,0.5010,111485,53.239,8.500,1
43,0,4,0.5183,0.5020,111502,52.235,8.663,1
44,1,2,0.5164,0.4961,111436,29.350,8.520,1
45,0,2,0.5152,0.4988,111480,29.201,8.501,1
46,1,2,0.5115,0.4980,111455,29.472,8.594,1
47,0,1,0.5116,0.5013,111506,17.827,8.509,1
48,1,1,0.5113,0.4977,111455,17.920,9.040,1
49,0,4,0.5182,0.4969,111436,53.618,8.577,1
50,1,2,0.5133,0.5056,111558,29.736,8.852,1
51,0,1,0.5123,0.4987,111468,17.932,8.981,1
52,1,1,0.5141,0.4966,111452,18.099,8.405,1
53,0,4,0.5092,0.5024,111496,53.280,8.370,1
54,1,1,0.5183,0.4990,111495,18.062,8.708,1
55,0,1,0.5155,0.4974,111467,17.827,8.399,1
56,1,6,0.5202,0.4998,111487,76.959,8.540,1
57,0,8,0.5168,0.5018,111499,99.823,8.676,1
58,1,1,0.5055,0.5000,111472,18.349,8.631,1
59,0,1,0.5137,0.5028,111502,18.326,9.081,1
60,1,2,0.5137,0.4993,111474,29.850,8.434,1
61,0,2,0.5143,0.4998,111492,29.612,8.811,1
62,1,4,0.5126,0.4990,111473,53.827,8.424,1
63,0,4,0.5105,0.5026,111520,53.560,8.426,1
64,1,3,0.5129,0.4979,111457,41.026,8.645,1
65,0,2,0.5163,0.5002,111489,29.920,8.698,1
66,1,1,0.5133,0.5009,111503,18.148,8.385,1
67,0,5,0.5134,0.5030,111521,64.221,8.862,1
68,1,1,0.5108,0.5044,111529,17.997,8.741,1
69,0,9,0.5136,0.5036,111524,111.514,8.939,1
70,1,2,0.5108,0.5004,111489,29.147,8.475,1
71,0,1,0.5156,0.4990,111478,17.846,8.464,1
72,1,4,0.5178,0.4963,111436,52.562,8.486,1
73,0,1,0.5121,0.4988,111471,17.893,8.918,1
74,1,3,0.5156,0.4960,111438,41.082,8.371,1
75,0,2,0.5162,0.4996,111476,30.664,8.569,1
76,1,3,0.5150,0.4996,111477,42.581,11.777,1
77,0,2,0.5116,0.4995,111487,30.500,8.528,1
78,1,9,0.5180,0.4943,111399,112.835,8.814,1
79,0,3,0.5154,0.4983,111456,47.912,8.965,1
80,1,1,0.5187,0.4993,111456,18.637,8.393,1
81,0,3,0.5233,0.5012,111507,42.341,8.448,1
82,1,3,0.5149,0.5038,111518,44.705,10.451,1
83,0,1,0.5162,0.5024,111508,18.507,8.729,1
84,1,2,0.5151,0.5005,111486,32.586,8.739,1
85,0,2,0.5135,0.5025,111500,29.716,8.698,1
86,1,2,0.5077,0.5028,111504,30.567,9.225,1
87,0,2,0.5068,0.5010,111491,30.693,8.888,1
88,1,3,0.5117,0.5008,111496,41.478,9.465,1
89,0,3,0.5143,0.5024,111512,42.132,8.511,1
90,1,3,0.5157,0.4985,111443,41.325,8.843,1
91,0,4,0.5129,0.4986,111476,63.119,12.237,1
92,1,3,0.5146,0.4994,111487,58.300,9.888,1
93,0,1,0.5218,0.5006,111491,18.570,8.679,1
94,1,1,0.5189,0.5017,111527,17.962,8.411,1
95,0,1,0.5222,0.5009,111486,17.886,8.484,1
96,1,3,0.5174,0.5010,111491,41.192,8.449,1
97,0,1,0.5143,0.4971,111450,17.757,8.558,1
98,1,1,0.5164,0.5055,111536,18.006,8.636,1
99,0,2,0.5142,0.5002,111481,29.580,8.868,1
100,1,3,0.5173,0.5045,111516,48.301,8.680,1
101,0,7,0.5213,0.4981,111466,122.950,15.739,1
