ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,1,2,0.5365,0.5028,131532,35.486,10.179,1
1,0,6,0.5340,0.4992,131527,89.195,10.128,1
2,1,1,0.5368,0.5031,131545,21.140,10.187,1
3,0,1,0.5328,0.5027,131549,20.817,9.785,1
4,1,4,0.5318,0.5005,131539,61.407,10.360,1
5,0,3,0.5316,0.5003,131538,57.506,9.961,1
6,1,1,0.5415,0.4997,131531,21.212,9.962,1
7,0,1,0.5366,0.4995,131544,20.778,10.166,1
8,1,3,0.5342,0.5005,131550,47.399,9.710,1
9,0,2,0.5334,0.4962,131517,34.352,9.630,1
10,1,1,0.5332,0.5037,131552,21.157,9.593,1
11,0,1,0.5361,0.4965,131505,20.564,9.779,1
12,1,4,0.5342,0.5006,131522,61.613,10.000,1
13,0,1,0.5383,0.4972,131509,20.482,9.519,1
14,1,1,0.5255,0.4953,131500,22.065,9.759,1
15,0,5,0.5355,0.5009,131542,74.656,10.258,1
16,1,4,0.5348,0.4971,131510,61.836,9.649,1
17,0,10,0.5379,0.5009,131535,148.247,10.070,1
18,1,1,0.5339,0.4989,131518,21.087,10.138,1
19,0,1,0.5333,0.4976,131515,20.994,10.036,1
20,1,1,0.5359,0.4996,131527,20.682,9.799,1
21,0,1,0.5356,0.5029,131544,21.123,9.956,1
22,1,5,0.5357,0.5015,131541,76.674,10.690,1
23,0,1,0.5336,0.5002,131526,21.152,10.041,1
24,1,4,0.5314,0.5010,131542,63.156,10.093,1
25,0,4,0.5400,0.4958,131498,62.723,9.978,1
26,1,4,0.5292,0.5005,131544,107.711,17.435,1
27,0,7,0.5352,0.4969,131512,131.200,10.191,1
28,1,2,0.5327,0.5004,131537,36.716,10.054,1
29,0,2,0.5286,0.4985,131521,34.832,10.081,1
30,1,2,0.5375,0.4976,131518,34.180,10.113,1
31,0,3,0.5343,0.4970,131522,51.446,12.405,1
32,1,2,0.5327,0.4998,131527,37.935,10.025,1
33,0,3,0.5353,0.4983,131520,49.232,9.840,1
34,1,18,0.5363,0.5000,131524,264.673,10.801,1
35,0,1,0.5337,0.4998,131539,21.749,9.653,1
36,1,1,0.5290,0.5009,131538,20.825,9.807,1
37,0,2,0.5301,0.4991,131528,34.242,9.712,1
38,1,2,0.5396,0.4994,131518,34.943,10.433,1
39,0,1,0.5354,0.4991,131517,23.638,10.417,1
40,1,4,0.5396,0.5001,131535,63.572,9.646,1
41,0,1,0.5346,0.5024,131538,21.471,10.043,1
42,1,6,0.5371,0.5047,131558,93.723,9.953,1
43,0,1,0.5344,0.5032,131543,22.026,11.051,1
44,1,2,0.5405,0.5003,131534,56.131,18.560,1
45,0,5,0.5362,0.5030,131550,97.802,10.201,1
46,1,1,0.5330,0.4977,131509,21.975,12.180,1
47,0,6,0.5360,0.4967,131512,92.265,9.513,1
48,1,2,0.5340,0.4965,131516,35.110,9.855,1
49,0,1,0.5277,0.5026,131553,20.453,10.177,1
50,1,1,0.5388,0.4992,131529,21.211,9.624,1
51,0,1,0.5293,0.5019,131549,21.651,10.195,1
52,1,1,0.5287,0.5021,131551,21.144,14.551,1
53,0,7,0.5371,0.5011,131542,103.061,9.775,1
54,1,2,0.5343,0.4981,131518,35.779,9.570,1
55,0,8,0.5369,0.5007,131542,122.006,9.891,1
56,1,2,0.5354,0.5028,131554,34.551,9.735,1
57,0,1,0.5362,0.4958,131513,20.580,9.832,1
58,1,1,0.5320,0.5004,131532,20.746,9.974,1
59,0,3,0.5292,0.5022,131539,47.902,9.930,1
60,1,3,0.5346,0.4994,131532,48.424,10.216,1
61,0,3,0.5361,0.4993,131525,56.637,9.847,1
62,1,4,0.5415,0.4999,131530,61.706,10.174,1
63,0,2,0.5389,0.4998,131529,35.229,9.772,1
64,1,2,0.5356,0.5012,131535,37.194,9.831,1
65,0,2,0.5365,0.5010,131541,34.708,9.495,1
66,1,3,0.5350,0.4989,131529,47.178,9.882,1
67,0,3,0.5326,0.5010,131542,49.534,9.533,1
68,1,7,0.5434,0.4962,131523,101.712,10.154,1
69,0,3,0.5397,0.5016,131541,57.424,16.117,1
70,1,2,0.5386,0.5002,131535,36.418,10.417,1
71,0,4,0.5365,0.4995,131536,61.963,9.778,1
72,1,2,0.5345,0.4989,131526,35.505,9.974,1
73,0,4,0.5328,0.5043,131548,63.250,9.898,1
74,1,1,0.5323,0.4976,131519,21.724,9.964,1
75,0,1,0.5400,0.5017,131537,21.368,9.595,1
76,1,2,0.5390,0.4981,131527,36.330,10.794,1
77,0,5,0.5378,0.5013,131547,80.812,11.581,1
78,1,3,0.5341,0.5016,131539,52.915,9.803,1
79,0,1,0.5335,0.5010,131539,20.830,10.110,1
80,1,3,0.5395,0.5010,131540,50.148,10.748,1
81,0,1,0.5344,0.5008,131535,21.391,9.736,1
82,1,1,0.5310,0.4980,131517,21.041,9.971,1
83,0,2,0.5361,0.4999,131526,33.653,9.499,1
84,1,10,0.5403,0.5000,131536,142.144,9.889,1
85,0,1,0.5328,0.5006,131548,20.653,10.555,1
86,1,6,0.5365,0.4982,131517,92.606,9.776,1
87,0,2,0.5331,0.5035,131547,34.534,10.233,1
88,1,2,0.5363,0.5018,131533,34.710,9.454,1
89,0,1,0.5341,0.5043,131560,20.466,9.798,1
90,1,3,0.5401,0.5020,131536,47.237,9.810,1
91,0,10,0.5331,0.4994,131531,143.547,9.794,1
92,1,2,0.5343,0.5021,131541,38.957,9.727,1
93,0,4,0.5401,0.5022,131550,62.788,9.797,1
94,1,6,0.5318,0.4980,131515,87.968,10.068,1
95,0,1,0.5354,0.5016,131552,21.204,11.847,1
96,1,6,0.5388,0.4974,131520,90.129,10.604,1
97,0,9,0.5373,0.5002,131526,133.036,10.223,1
98,1,1,0.5333,0.5009,131526,21.807,10.153,1
99,0,1,0.5331,0.4978,131517,22.861,9.842,1
100,1,4,0.5351,0.4984,131523,63.646,10.078,1
101,0,8,0.5354,0.5027,131550,117.114,9.493,1
102,1,4,0.5341,0.5006,131529,62.504,9.954,1
103,0,3,0.5371,0.4987,131539,47.257,10.238,1
104,1,2,0.5343,0.5006,131531,35.380,9.856,1
105,0,3,0.5365,0.5014,131549,49.187,10.447,1
106,1,2,0.5376,0.5025,131536,35.513,10.841,1
107,0,3,0.5434,0.5023,131560,48.693,10.049,1
108,1,2,0.5291,0.4985,131518,34.408,10.390,1
109,0,7,0.5331,0.5007,131544,104.354,10.188,1
110,1,1,0.5351,0.4980,131540,21.240,9.880,1
111,0,8,0.5370,0.4988,131532,126.599,10.138,1
112,1,4,0.5373,0.4990,131525,62.463,10.233,1
113,0,1,0.5363,0.5031,131560,21.363,10.949,1
114,1,1,0.5303,0.5014,131540,21.314,10.489,1
115,0,2,0.5419,0.5018,131539,34.754,9.576,1
116,1,2,0.5360,0.4999,131525,33.972,9.870,1
117,0,1,0.5294,0.4987,131520,21.003,9.931,1
118,1,2,0.5356,0.4986,131540,35.034,9.691,1
119,0,4,0.5383,0.5007,131532,60.925,9.893,1
120,1,1,0.5328,0.5006,131533,20.221,10.051,1
121,0,2,0.5348,0.4986,131527,33.945,9.910,1
122,1,3,0.5406,0.4986,131522,46.737,9.765,1
123,0,8,0.5396,0.4925,131483,117.562,9.791,1
124,1,1,0.5365,0.5005,131536,20.744,10.024,1
125,0,1,0.5395,0.4989,131525,20.287,10.120,1
