ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,4,0.5386,0.5008,129345,61.134,10.327,1
1,1,1,0.5376,0.5022,129365,21.206,10.535,1
2,0,3,0.5428,0.5012,129356,48.889,9.921,1
3,1,3,0.5393,0.5011,129343,48.657,10.925,1
4,0,1,0.5334,0.5001,129329,21.826,10.354,1
5,1,1,0.5388,0.5001,129338,20.644,10.011,1
6,0,1,0.5319,0.4981,129320,20.763,10.207,1
7,1,16,0.5425,0.4964,129290,227.431,10.200,1
8,0,4,0.5319,0.5032,129362,64.700,10.479,1
9,1,4,0.5379,0.4995,129332,66.104,10.266,1
10,0,1,0.5389,0.5017,129352,21.280,10.255,1
11,1,2,0.5374,0.4980,129310,34.163,9.729,1
12,0,4,0.5399,0.4975,129299,61.137,9.899,1
13,1,3,0.5358,0.5029,129367,48.588,10.138,1
14,0,7,0.5421,0.4964,129301,140.128,15.092,1
15,1,2,0.5329,0.5039,129381,44.546,9.637,1
16,0,1,0.5417,0.4991,129332,20.218,10.050,1
17,1,1,0.5324,0.4987,129321,20.586,10.160,1
18,0,1,0.5387,0.4998,129334,20.975,10.449,1
19,1,5,0.5392,0.5021,129360,75.145,10.091,1
20,0,3,0.5346,0.5006,129327,47.797,10.077,1
21,1,1,0.5335,0.4987,129323,20.886,10.022,1
22,0,2,0.5428,0.4991,129330,33.982,10.068,1
23,1,1,0.5310,0.4986,129339,20.682,9.676,1
24,0,4,0.5379,0.5022,129349,61.195,9.650,1
25,1,1,0.5336,0.5014,129340,20.663,9.743,1
26,0,2,0.5442,0.5015,129350,33.570,10.006,1
27,1,1,0.5349,0.4999,129328,21.148,9.478,1
28,0,2,0.5383,0.5019,129360,34.930,10.330,1
29,1,1,0.5325,0.4982,129329,20.960,10.049,1
30,0,4,0.5365,0.4996,129324,72.270,9.981,1
31,1,2,0.5325,0.5017,129356,35.031,9.847,1
32,0,3,0.5383,0.5007,129353,48.220,9.785,1
33,1,3,0.5371,0.4998,129329,46.583,9.956,1
34,0,1,0.5347,0.5022,129350,21.468,9.906,1
35,1,3,0.5427,0.4986,129324,48.689,9.625,1
36,0,2,0.5372,0.4998,129331,33.807,10.265,1
37,1,1,0.5393,0.4980,129330,20.487,10.136,1
38,0,2,0.5372,0.4990,129339,34.477,10.469,1
39,1,3,0.5352,0.5027,129353,47.639,10.466,1
40,0,1,0.5315,0.4975,129308,20.656,10.444,1
41,1,1,0.5379,0.5007,129342,21.303,9.801,1
42,0,4,0.5395,0.4997,129323,59.782,10.096,1
43,1,2,0.5370,0.4984,129307,33.975,10.251,1
44,0,2,0.5376,0.5013,129345,34.602,9.766,1
45,1,2,0.5441,0.4999,129352,33.381,10.072,1
46,0,1,0.5372,0.5018,129350,20.638,10.115,1
47,1,3,0.5377,0.5014,129352,49.001,9.937,1
48,0,6,0.5357,0.5000,129335,88.362,9.907,1
49,1,1,0.5346,0.4995,129348,19.948,10.059,1
50,0,1,0.5372,0.5016,129350,20.207,10.054,1
51,1,2,0.5342,0.5029,129359,34.696,10.248,1
52,0,2,0.5386,0.4987,129336,34.210,10.362,1
53,1,4,0.5410,0.4997,129341,61.647,10.015,1
54,0,1,0.5360,0.5002,129330,20.419,10.366,1
55,1,5,0.5430,0.4997,129330,74.106,9.793,1
56,0,1,0.5319,0.5038,129368,20.687,10.141,1
57,1,7,0.5392,0.5029,129367,101.614,10.125,1
58,0,2,0.5342,0.4991,129341,32.957,10.080,1
59,1,1,0.5384,0.5020,129356,21.773,9.609,1
60,0,1,0.5349,0.5004,129338,20.515,9.871,1
61,1,2,0.5352,0.5050,129390,33.562,9.980,1
62,0,1,0.5369,0.5008,129345,20.806,10.316,1
63,1,1,0.5331,0.5029,129374,21.334,9.907,1
64,0,6,0.5462,0.4967,129304,88.140,9.862,1
65,1,9,0.5391,0.4983,129316,127.969,10.066,1
66,0,2,0.5363,0.5010,129339,34.366,9.796,1
67,1,1,0.5349,0.4983,129311,20.694,10.272,1
68,0,1,0.5401,0.4999,129343,20.642,9.777,1
69,1,1,0.5359,0.4978,129326,19.860,9.879,1
70,0,1,0.5323,0.4983,129315,20.417,9.863,1
71,1,3,0.5313,0.4992,129335,48.359,10.093,1
72,0,5,0.5369,0.4999,129343,75.519,9.809,1
73,1,1,0.5386,0.5019,129350,20.667,10.322,1
74,0,2,0.5352,0.4964,129296,35.159,9.736,1
75,1,3,0.5399,0.4974,129323,47.910,9.953,1
76,0,6,0.5366,0.5004,129351,89.892,10.201,1
77,1,6,0.5416,0.5011,129353,88.315,9.887,1
78,0,13,0.5382,0.4977,129321,184.481,9.815,1
79,1,2,0.5345,0.5027,129359,35.797,9.898,1
80,0,2,0.5326,0.5001,129327,33.340,9.767,1
81,1,5,0.5369,0.5000,129335,75.285,10.328,1
82,0,5,0.5371,0.4985,129334,74.902,9.448,1
83,1,1,0.5374,0.4953,129287,20.396,10.063,1
84,0,2,0.5347,0.5018,129361,33.908,9.990,1
85,1,13,0.5424,0.4994,129342,187.042,10.206,1
86,0,3,0.5352,0.4995,129323,49.204,9.924,1
87,1,5,0.5363,0.4995,129335,76.052,10.522,1
88,0,8,0.5349,0.4998,129342,116.511,10.220,1
89,1,3,0.5351,0.4976,129319,47.966,9.992,1
90,0,4,0.5382,0.5003,129343,61.172,10.102,1
91,1,4,0.5387,0.5016,129350,60.414,9.799,1
92,0,2,0.5312,0.4986,129333,34.264,9.826,1
93,1,2,0.5409,0.5028,129361,33.076,10.277,1
