ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,1,0.5151,0.4990,111601,21.556,8.466,1
1,1,1,0.5129,0.4967,111588,20.837,9.318,1
2,0,1,0.5118,0.5013,111614,19.948,8.721,1
3,1,3,0.5174,0.5019,111641,46.854,12.006,1
4,0,2,0.5121,0.5011,111614,33.649,9.464,1
5,1,1,0.5072,0.4998,111613,20.498,8.962,1
6,0,2,0.5132,0.4992,111616,35.759,9.122,1
7,1,3,0.5193,0.4969,111589,46.648,9.091,1
8,0,5,0.5158,0.4994,111604,73.289,8.420,1
9,1,1,0.5121,0.5012,111613,20.327,8.627,1
10,0,2,0.5177,0.4986,111598,32.595,9.187,1
11,1,1,0.5145,0.5005,111608,20.049,9.363,1
12,0,3,0.5109,0.4981,111593,46.919,9.251,1
13,1,1,0.5080,0.4995,111605,20.625,8.766,1
14,0,1,0.5198,0.4983,111602,19.988,8.457,1
15,1,3,0.5159,0.4998,111620,46.058,9.328,1
16,0,7,0.5191,0.4990,111605,99.477,9.192,1
17,1,1,0.5156,0.5015,111622,20.283,9.031,1
18,0,1,0.5126,0.4983,111597,20.799,9.217,1
19,1,2,0.5190,0.4985,111607,33.809,9.232,1
20,0,11,0.5204,0.5032,111655,152.389,9.137,1
21,1,5,0.5170,0.4981,111598,72.830,9.160,1
22,0,5,0.5150,0.5009,111610,72.798,8.388,1
23,1,6,0.5151,0.5029,111626,92.068,8.942,1
24,0,2,0.5151,0.4977,111595,32.669,9.044,1
25,1,2,0.5163,0.5010,111622,33.289,8.612,1
26,0,2,0.5201,0.5021,111634,33.308,8.937,1
27,1,3,0.5143,0.4981,111582,47.819,9.172,1
28,0,10,0.5152,0.4997,111618,137.842,9.028,1
29,1,1,0.5162,0.5000,111603,20.722,8.477,1
30,0,7,0.5195,0.4990,111603,98.846,9.123,1
31,1,2,0.5118,0.4968,111587,33.814,8.875,1
32,0,6,0.5202,0.4987,111601,85.294,9.467,1
33,1,1,0.5163,0.4976,111594,21.050,9.069,1
34,0,2,0.5112,0.5018,111631,33.722,8.745,1
35,1,2,0.5118,0.4985,111596,33.886,8.879,1
36,0,6,0.5186,0.5017,111634,87.741,8.376,1
37,1,4,0.5240,0.4982,111599,59.968,8.932,1
38,0,1,0.5136,0.4973,111586,30.896,14.768,1
39,1,4,0.5181,0.4998,111615,58.949,8.954,1
40,0,1,0.5114,0.5035,111640,22.248,8.967,1
41,1,2,0.5180,0.5048,111657,35.233,8.809,1
42,0,4,0.5207,0.5018,111624,68.336,9.471,1
43,1,3,0.5170,0.4984,111593,55.642,10.324,1
