n,t,L,w,d,logq,sigma_J,log2_sigma_J,T,B_J,M,ballots,attempts_mean,attempts_sd,attempts_ci95,accept_rate,max_shift_over_T,max_norm_over_BJ,verified,bytes_mean,prove_ms_median,verify_ms_median,gof_chi2,gof_dof,gof_p,indep_chi2,indep_dof,indep_p,seed
4,3,1,-1,7,43,25113.9,14.616,2283.1,8234892.7,2.9893,1000,2.9650,2.3929,0.1483,0.3373,0.5286,0.5079,1000,111611.5,35.720,9.041,65.6,65,0.4551,54.0,65,0.8338,20260924
4,3,2,1,7,43,29469.8,14.847,2679.1,11316392.7,2.9893,1000,2.9200,2.3579,0.1461,0.3425,0.5019,0.5068,1000,140431.8,47.396,12.533,55.7,65,0.7884,59.3,65,0.6769,20260924
4,3,5,1,7,43,40218.1,15.296,3656.2,21726687.0,2.9893,1000,2.9490,2.3273,0.1442,0.3391,0.4798,0.5043,1000,242977.1,91.111,24.798,61.8,65,0.5908,60.5,65,0.6336,20260924
4,3,10,1,7,43,54836.6,15.743,4985.1,42982920.3,2.9893,1000,3.1490,2.6535,0.1645,0.3176,0.4833,0.5028,1000,461009.2,186.931,50.472,69.3,65,0.3340,71.0,65,0.2859,20260924
5,3,1,-1,7,43,26066.4,14.670,2369.7,9137390.6,2.9893,1000,3.0280,2.5599,0.1587,0.3303,0.5500,0.5071,1000,130872.0,40.334,10.297,44.1,65,0.9784,73.9,65,0.2112,20260924
