ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,1,0.4628,0.4999,243509,46.062,24.137,1
1,0,1,0.4691,0.4997,243516,45.743,25.271,1
2,0,3,0.4666,0.4991,243507,109.316,24.666,1
3,0,1,0.4688,0.5003,243530,54.610,24.498,1
4,1,3,0.4692,0.4999,243522,111.621,23.841,1
5,0,1,0.4652,0.4993,243510,43.248,23.796,1
6,0,2,0.4625,0.5011,243542,77.618,23.662,1
7,0,7,0.4673,0.4990,243496,239.348,23.419,1
8,0,5,0.4682,0.4990,243511,172.592,23.596,1
9,1,2,0.4685,0.4995,243520,76.599,23.278,1
10,0,7,0.4735,0.4996,243500,239.935,23.865,1
11,0,3,0.4654,0.4984,243478,110.867,23.929,1
12,0,1,0.4661,0.4980,243485,44.601,23.087,1
13,0,4,0.4695,0.4999,243510,141.987,24.352,1
14,1,2,0.4638,0.5007,243544,76.665,24.340,1
15,0,1,0.4636,0.5006,243518,43.660,26.348,1
16,0,1,0.4675,0.4991,243507,43.372,23.532,1
17,0,5,0.4621,0.5000,243535,183.217,23.780,1
18,0,3,0.4635,0.4991,243508,112.060,24.234,1
19,1,1,0.4703,0.4994,243517,45.250,25.570,1
20,0,1,0.4653,0.5000,243508,46.924,22.720,1
21,0,1,0.4612,0.4990,243494,44.671,24.149,1
22,0,1,0.4575,0.4987,243480,45.222,24.619,1
23,0,2,0.4660,0.4998,243550,78.397,24.197,1
24,1,1,0.4609,0.4994,243525,43.763,22.865,1
25,0,6,0.4721,0.4977,243478,329.760,23.646,1
26,0,3,0.4646,0.5015,243550,111.453,24.210,1
27,0,2,0.4678,0.4989,243495,77.342,23.462,1
28,0,8,0.4647,0.4985,243494,276.569,24.032,1
29,1,1,0.4628,0.4975,243485,44.297,23.578,1
30,0,1,0.4685,0.5018,243550,42.685,23.074,1
31,0,3,0.4667,0.5019,243557,109.853,24.646,1
32,0,9,0.4676,0.5009,243537,307.353,23.442,1
33,0,1,0.4642,0.5007,243511,44.517,24.083,1
