ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,3,0.4888,0.5005,141351,38.367,9.336,1
1,1,8,0.4897,0.5010,141356,83.194,7.750,1
2,0,5,0.4823,0.5017,141348,54.035,7.523,1
3,1,4,0.4865,0.5009,141354,43.846,8.683,1
4,0,1,0.4888,0.5002,141347,16.132,9.495,1
5,1,8,0.4929,0.5004,141350,94.783,9.095,1
6,0,1,0.4864,0.5014,141358,16.118,8.904,1
7,1,2,0.4919,0.5013,141341,27.493,9.349,1
8,0,4,0.4880,0.5018,141355,42.385,8.620,1
9,1,2,0.4815,0.4991,141337,27.607,9.537,1
10,0,1,0.4865,0.5022,141363,16.819,9.362,1
11,1,1,0.4881,0.5010,141375,16.830,9.462,1
12,0,4,0.4872,0.4997,141367,50.087,9.256,1
13,1,5,0.4865,0.5029,141364,59.766,9.919,1
14,0,7,0.4863,0.4995,141332,77.411,7.280,1
15,1,8,0.4966,0.5007,141362,86.521,9.413,1
16,0,1,0.4863,0.4985,141332,16.638,9.238,1
17,1,1,0.4851,0.5008,141349,16.824,9.219,1
18,0,1,0.5005,0.5005,141355,16.732,9.170,1
19,1,1,0.4878,0.4984,141323,16.715,9.181,1
20,0,2,0.4831,0.4995,141338,27.657,9.019,1
21,1,4,0.4910,0.5003,141357,50.372,9.347,1
22,0,1,0.4885,0.5021,141373,15.566,7.930,1
23,1,1,0.4898,0.5026,141375,16.921,9.789,1
24,0,2,0.4849,0.4997,141334,28.502,7.860,1
25,1,1,0.4858,0.4999,141348,13.776,11.398,1
26,0,1,0.4910,0.4995,141350,18.688,9.832,1
27,1,1,0.4894,0.5033,141374,17.186,9.635,1
28,0,5,0.4894,0.5012,141355,59.352,11.104,1
29,1,2,0.4944,0.4957,141301,23.502,7.980,1
30,0,3,0.4895,0.4981,141334,34.145,8.576,1
31,1,5,0.4956,0.5004,141342,61.372,9.384,1
32,0,1,0.4881,0.5015,141364,16.818,9.324,1
33,1,1,0.4918,0.4990,141329,16.300,8.907,1
34,0,2,0.4862,0.5012,141361,22.173,8.387,1
35,1,1,0.4893,0.5016,141363,15.647,9.408,1
36,0,2,0.4878,0.5001,141346,27.312,9.165,1
37,1,1,0.4829,0.5002,141353,16.501,9.363,1
38,0,1,0.4839,0.4979,141332,16.389,7.301,1
39,1,3,0.4887,0.4971,141329,33.721,8.720,1
40,0,7,0.4905,0.4975,141346,74.326,8.042,1
41,1,2,0.4883,0.5017,141355,23.868,8.883,1
42,0,7,0.4932,0.4998,141337,83.022,9.354,1
43,1,9,0.4934,0.4992,141334,106.050,9.439,1
44,0,4,0.4902,0.5012,141347,50.510,9.346,1
45,1,1,0.4917,0.4994,141343,16.727,9.178,1
46,0,8,0.4866,0.4976,141327,94.977,9.613,1
47,1,7,0.4874,0.5013,141362,83.575,9.503,1
48,0,1,0.4921,0.5001,141332,16.253,9.365,1
49,1,1,0.4833,0.4997,141330,16.377,9.102,1
50,0,1,0.4857,0.4984,141329,16.409,9.383,1
51,1,1,0.4858,0.4988,141342,16.637,9.347,1
52,0,1,0.4829,0.5020,141369,16.116,9.376,1
53,1,3,0.4833,0.4970,141314,39.120,9.658,1
54,0,1,0.4923,0.5008,141361,16.793,9.255,1
55,1,1,0.4902,0.4996,141329,16.488,9.254,1
56,0,2,0.4832,0.4991,141340,27.546,9.448,1
57,1,2,0.4897,0.4968,141326,28.262,9.063,1
58,0,5,0.4843,0.5006,141359,60.492,8.149,1
59,1,2,0.4828,0.4998,141336,25.149,8.728,1
60,0,3,0.4868,0.4982,141334,37.985,9.390,1
61,1,3,0.4901,0.5009,141338,31.825,7.580,1
62,0,11,0.4875,0.5013,141351,124.292,9.387,1
63,1,4,0.4878,0.5000,141354,49.917,9.375,1
64,0,11,0.4835,0.4993,141343,127.565,9.470,1
65,1,4,0.4925,0.4970,141323,49.771,9.242,1
66,0,5,0.4981,0.5007,141349,55.916,7.598,1
67,1,1,0.4894,0.4995,141333,14.514,8.836,1
68,0,2,0.4859,0.4979,141336,27.063,9.480,1
69,1,2,0.4933,0.5026,141371,27.609,9.222,1
70,0,1,0.4932,0.5048,141396,16.451,9.333,1
71,1,1,0.4873,0.5010,141356,16.066,9.105,1
72,0,3,0.4851,0.4998,141347,38.950,9.198,1
73,1,2,0.4812,0.5018,141366,27.569,9.430,1
74,0,2,0.4860,0.4997,141343,27.568,9.149,1
75,1,4,0.4920,0.4961,141304,49.846,9.251,1
76,0,1,0.4976,0.4974,141329,15.949,9.020,1
77,1,1,0.4940,0.5001,141342,16.412,9.266,1
78,0,2,0.4921,0.5018,141356,27.294,9.583,1
79,1,5,0.4890,0.4982,141334,62.619,9.317,1
80,0,1,0.4939,0.4993,141343,16.461,9.130,1
81,1,1,0.4800,0.4992,141342,16.263,8.985,1
82,0,1,0.4858,0.4984,141343,15.124,9.613,1
83,1,1,0.4821,0.5010,141345,16.538,9.265,1
84,0,1,0.4836,0.5060,141389,16.294,9.049,1
85,1,1,0.4854,0.5030,141360,16.651,9.123,1
86,0,4,0.4896,0.5013,141356,49.326,9.392,1
87,1,3,0.4887,0.5026,141362,38.553,8.640,1
88,0,1,0.4882,0.5005,141352,12.721,7.608,1
89,1,2,0.4903,0.4994,141339,23.490,8.145,1
90,0,2,0.4902,0.4986,141325,24.047,8.230,1
91,1,1,0.4831,0.5025,141361,14.441,8.155,1
92,0,3,0.4934,0.5033,141377,32.584,8.106,1
93,1,3,0.4824,0.5015,141365,33.523,8.692,1
94,0,2,0.4914,0.5022,141367,26.313,9.265,1
95,1,1,0.4800,0.4996,141325,16.023,9.164,1
96,0,5,0.4914,0.5011,141345,60.633,8.843,1
97,1,2,0.4876,0.5001,141346,21.848,8.141,1
98,0,3,0.4895,0.5025,141354,33.071,8.947,1
99,1,2,0.4938,0.4978,141330,27.350,9.455,1
100,0,3,0.4900,0.5029,141365,37.932,8.914,1
101,1,2,0.4859,0.4983,141334,27.966,8.997,1
102,0,8,0.4964,0.4984,141324,93.936,9.278,1
103,1,1,0.4897,0.4999,141345,16.427,8.838,1
104,0,1,0.4905,0.4968,141330,16.423,9.679,1
105,1,7,0.4905,0.4990,141341,84.000,9.377,1
106,0,4,0.4933,0.5025,141373,50.919,9.265,1
107,1,1,0.4852,0.5030,141378,16.272,9.453,1
108,0,1,0.4806,0.4989,141337,16.277,9.484,1
109,1,3,0.4903,0.4968,141310,39.215,9.294,1
110,0,7,0.4909,0.4986,141327,78.375,9.282,1
111,1,3,0.4917,0.4986,141330,38.433,9.427,1
