ballot,vote,attempts,shift_over_T,norm_over_BJ,bytes,prove_ms,verify_ms,verified
0,0,6,0.5386,0.4966,131513,51.300,6.358,1
1,1,5,0.5354,0.5003,131525,43.473,6.877,1
2,0,9,0.5441,0.4975,131527,87.767,7.992,1
3,1,2,0.5371,0.5006,131538,23.779,7.926,1
4,0,15,0.5331,0.4993,131533,132.451,6.890,1
5,1,1,0.5371,0.5007,131534,14.273,7.635,1
6,0,4,0.5313,0.5011,131534,42.364,7.832,1
7,1,2,0.5359,0.4997,131536,24.132,7.483,1
8,0,2,0.5309,0.5017,131540,24.161,7.566,1
9,1,1,0.5354,0.5027,131548,14.417,7.549,1
10,0,1,0.5354,0.5008,131537,14.563,7.613,1
11,1,1,0.5323,0.4995,131531,14.579,7.544,1
12,0,1,0.5334,0.4986,131526,14.605,7.614,1
13,1,6,0.5341,0.4985,131522,61.099,7.931,1
14,0,4,0.5360,0.4977,131511,43.039,7.121,1
15,1,2,0.5339,0.4980,131523,23.759,7.602,1
16,0,3,0.5404,0.4993,131529,33.200,7.608,1
17,1,2,0.5312,0.5051,131559,23.756,7.698,1
18,0,4,0.5326,0.5005,131542,42.649,7.702,1
19,1,3,0.5357,0.4998,131530,33.360,7.541,1
20,0,1,0.5301,0.4967,131511,14.532,7.586,1
21,1,2,0.5334,0.5031,131567,23.919,7.567,1
22,0,1,0.5356,0.4994,131527,14.461,7.697,1
23,1,1,0.5247,0.5014,131537,14.694,7.261,1
24,0,1,0.5354,0.4990,131521,14.825,7.675,1
25,1,4,0.5332,0.4994,131525,43.220,7.588,1
26,0,5,0.5419,0.5008,131537,47.193,6.758,1
27,1,1,0.5354,0.4972,131514,12.636,6.544,1
28,0,3,0.5354,0.5015,131542,30.191,7.126,1
29,1,4,0.5379,0.5002,131526,47.623,6.974,1
30,0,4,0.5321,0.5001,131530,38.515,6.866,1
31,1,6,0.5297,0.5018,131539,59.072,7.447,1
32,0,3,0.5373,0.4985,131517,32.581,7.724,1
33,1,3,0.5349,0.4979,131521,28.636,7.244,1
34,0,1,0.5343,0.5011,131547,11.663,6.556,1
35,1,2,0.5387,0.5032,131557,20.699,6.481,1
36,0,5,0.5339,0.5029,131555,46.600,6.536,1
37,1,4,0.5386,0.5001,131535,39.971,7.555,1
38,0,5,0.5363,0.4996,131523,52.729,7.197,1
39,1,4,0.5359,0.5019,131548,43.120,7.589,1
40,0,2,0.5325,0.5005,131530,20.968,6.176,1
41,1,3,0.5349,0.4999,131541,28.632,7.448,1
42,0,2,0.5395,0.4990,131539,23.958,7.395,1
43,1,1,0.5354,0.4974,131531,14.707,8.335,1
44,0,3,0.5347,0.4975,131525,33.571,7.454,1
45,1,2,0.5436,0.5027,131551,24.008,7.449,1
46,0,1,0.5408,0.4994,131525,15.049,7.596,1
47,1,1,0.5369,0.4978,131520,14.703,7.541,1
48,0,2,0.5362,0.4998,131527,24.156,7.839,1
49,1,1,0.5313,0.5013,131549,15.233,7.757,1
50,0,4,0.5384,0.5020,131553,42.952,7.813,1
51,1,4,0.5310,0.5008,131537,43.592,7.633,1
52,0,2,0.5322,0.4999,131527,24.869,7.933,1
53,1,3,0.5390,0.4988,131526,32.724,7.554,1
54,0,2,0.5312,0.4968,131512,23.935,7.631,1
55,1,1,0.5312,0.5005,131533,14.787,7.826,1
56,0,1,0.5310,0.5008,131534,14.791,7.673,1
57,1,2,0.5362,0.4979,131522,23.878,7.942,1
58,0,3,0.5324,0.4993,131521,33.121,7.805,1
59,1,3,0.5394,0.5032,131547,33.437,7.743,1
60,0,5,0.5349,0.4989,131533,52.253,7.508,1
61,1,3,0.5361,0.5012,131536,33.214,7.623,1
62,0,8,0.5371,0.5004,131544,79.779,7.584,1
63,1,7,0.5377,0.5023,131541,70.640,7.470,1
64,0,2,0.5347,0.4973,131513,23.757,7.373,1
65,1,3,0.5350,0.5001,131544,33.189,7.574,1
66,0,4,0.5366,0.5016,131548,42.685,8.272,1
67,1,1,0.5326,0.4996,131530,15.167,7.613,1
68,0,1,0.5392,0.4992,131535,15.108,7.930,1
69,1,3,0.5418,0.5016,131538,33.262,7.497,1
70,0,1,0.5291,0.5009,131537,14.414,7.752,1
71,1,1,0.5277,0.5028,131548,14.667,7.614,1
72,0,2,0.5336,0.5008,131523,23.828,7.387,1
73,1,3,0.5402,0.4994,131535,32.927,7.881,1
74,0,4,0.5320,0.5006,131532,42.853,7.617,1
75,1,5,0.5377,0.5010,131536,43.072,7.242,1
76,0,3,0.5318,0.4991,131530,32.506,7.893,1
77,1,3,0.5390,0.4976,131524,32.880,7.546,1
78,0,10,0.5375,0.5020,131545,91.794,7.417,1
79,1,2,0.5365,0.5013,131529,24.929,5.964,1
80,0,4,0.5328,0.4982,131523,39.442,6.447,1
81,1,1,0.5373,0.4992,131523,12.051,6.286,1
82,0,1,0.5327,0.5026,131548,12.195,6.401,1
83,1,5,0.5357,0.4986,131524,43.862,6.643,1
84,0,1,0.5314,0.5002,131531,13.926,7.526,1
85,1,1,0.5351,0.5032,131555,14.470,7.578,1
86,0,2,0.5309,0.5010,131530,23.530,7.735,1
87,1,2,0.5350,0.4989,131530,24.550,7.341,1
88,0,3,0.5321,0.5000,131524,32.974,7.869,1
89,1,4,0.5357,0.5014,131543,42.454,7.817,1
90,0,3,0.5358,0.4990,131522,33.102,7.411,1
91,1,3,0.5369,0.5018,131542,31.277,6.055,1
92,0,1,0.5292,0.5013,131529,11.608,6.100,1
93,1,1,0.5318,0.4995,131539,12.426,6.321,1
94,0,3,0.5349,0.4980,131523,28.692,6.543,1
95,1,2,0.5322,0.4954,131501,20.836,6.573,1
96,0,2,0.5404,0.5027,131546,21.043,6.432,1
97,1,3,0.5406,0.5012,131531,27.948,6.884,1
98,0,3,0.5350,0.5005,131538,31.865,7.627,1
99,1,5,0.5288,0.4976,131507,51.236,7.568,1
100,0,1,0.5321,0.5007,131539,14.745,7.472,1
101,1,4,0.5370,0.4993,131543,42.379,7.882,1
102,0,2,0.5354,0.4993,131531,23.798,7.784,1
103,1,1,0.5326,0.5027,131537,14.492,7.408,1
104,0,3,0.5316,0.4998,131541,32.797,7.947,1
105,1,2,0.5349,0.4981,131517,24.636,7.739,1
106,0,1,0.5369,0.4988,131529,14.701,7.533,1
107,1,3,0.5381,0.4979,131511,33.390,7.846,1
108,0,1,0.5353,0.5006,131538,15.047,7.529,1
109,1,2,0.5325,0.5007,131527,20.826,7.004,1
110,0,3,0.5379,0.5006,131536,33.163,7.608,1
111,1,2,0.5322,0.5043,131559,23.913,7.863,1
112,0,4,0.5367,0.4989,131521,42.415,7.390,1
113,1,1,0.5326,0.4943,131489,14.665,7.562,1
114,0,2,0.5418,0.4971,131512,23.689,7.412,1
115,1,2,0.5376,0.5028,131549,23.951,7.733,1
116,0,2,0.5404,0.5025,131542,24.052,7.728,1
117,1,3,0.5349,0.4984,131527,33.615,7.479,1
118,0,5,0.5342,0.4983,131531,52.342,7.481,1
119,1,3,0.5344,0.4996,131533,32.846,5.551,1
120,0,4,0.5375,0.5016,131542,36.307,6.058,1
121,1,1,0.5395,0.4986,131518,12.350,6.421,1
122,0,2,0.5361,0.5009,131534,20.372,7.012,1
123,1,4,0.5392,0.5034,131545,38.570,6.689,1
124,0,2,0.5337,0.5029,131544,23.768,7.509,1
